file_name,#followers,user_engagement,verified,depth,user_id1,tweet_id1,t1,user_id2,t2,veracity,resp_time,retw_prob,length,#hashs,#mentions,#URLs,sentiment_score,text,label
489800427152879616,15375121,72.56746914829051,1,0.0,ROOT,489800427152879616,0.0,2467791,0.0,0,0.0,3.082902567075732e-05,95,0,0,2,-0.3182,malaysia airlines says it lost contact with plane that was flying in ukrainian airspace URL URL,1
560474897013415936,3673898,55.2943331704934,1,0.0,ROOT,560474897013415936,0.0,59553554,0.0,0,0.0,3.157409378267987e-05,118,0,1,1,0.8398,for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support @dtfa. URL,1
524928119955013632,1274260,32.03338781228111,1,0.0,ROOT,524928119955013632,0.0,19038934,0.0,1,0.0,0.0001844207618539,133,1,0,0,-0.7269,"police say they have located car belonging to suspect in #ottawa shooting. uniformed soldier shot at war memorial, condition unknown.",0
518830518792892416,13955752,64.54889589905363,1,0.0,ROOT,518830518792892416,0.0,51241574,0.0,0,0.0,7.308814315416324e-06,96,0,0,1,-0.34,mexico security forces hunting 43 missing students after clashes with police find mass grave URL,1
551117430345711616,189683,24.726166328600407,1,0.0,ROOT,551117430345711616,0.0,2280470022,0.0,0,0.0,0.0006168185868,96,0,0,2,0.0,news saudi arabia's national airline planning to introduce gender segregation on flights URL URL,1
407193347279699968,3743709,26.76509433962264,1,0.0,ROOT,407193347279699968,0.0,22179997,0.0,1,0.0,7.96002039688448e-05,95,0,0,1,-0.7845,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL",0
506784541696991232,7427356,55.13650239860445,1,0.0,ROOT,506784541696991232,0.0,14173315,0.0,0,0.0,1.225200461644763e-05,84,1,0,2,0.0,"47 days after his plane was shot down over ukraine, #mh17 pilot laid to rest URL URL",1
524881688825167872,1943736,12.42622180451128,1,0.0,ROOT,524881688825167872,0.0,20622594,0.0,0,0.0,8.591701753736105e-05,85,0,0,2,-0.4767,"after speculation that he’s been arrested, banksy debuts new mural in bristol URL URL",1
542860306603868160,2187016,24.57826970860628,1,0.0,ROOT,542860306603868160,0.0,15976697,0.0,0,0.0,5.624101515489599e-05,114,0,0,1,0.0262,"very helpful to know that not only was douche harvard prof ben edelman a racist, but his students were, too==> URL",1
489798752438583297,19926,1.3736328702335203,0,0.0,ROOT,489798752438583297,0.0,329121956,0.0,0,0.0,0.0093345377898223,79,0,0,2,0.0,malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL,1
524941504796962816,2888852,48.91311475409836,1,0.0,ROOT,524941504796962816,0.0,6433472,0.0,1,0.0,0.0001083475373608,100,0,0,2,-0.7845,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",0
534409916560461825,7439788,55.38243123336291,1,0.0,ROOT,534409916560461825,0.0,15012486,0.0,0,0.0,1.975862753078448e-05,102,0,0,2,-0.3164,a world without chocolate?! two of the world's biggest chocolate makers could face a shortage: URL URL,1
524976526891417600,57226822,13.943715194908512,1,0.0,ROOT,524976526891417600,0.0,428333,0.0,1,0.0,9.820569802041428e-06,120,0,0,1,-0.8176,"the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL",0
524948703850029056,235241,18.79767779390421,0,0.0,ROOT,524948703850029056,0.0,292777349,0.0,1,0.0,0.0004591036426473,99,0,0,1,-0.34,breaking news: ottawa police confirm at least 3 separate shooting sites and multiple suspects - URL,0
407218583135997953,569,5.675682144566778,0,0.0,ROOT,407218583135997953,0.0,36780425,0.0,1,0.0,0.070298769771529,77,0,0,1,-0.5574,"r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL",0
543443188934250496,46022746,82.54247181964573,1,0.0,ROOT,543443188934250496,0.0,807095,0.0,0,0.0,5.4972817136987005e-06,111,0,0,1,-0.5574,"one day, we will see our animals again in the eternity of christ, pope francis said to a boy whose dog died URL",1
273182568298450945,11422844,16.157139752227778,1,0.0,ROOT,273182568298450945,0.0,14075928,0.0,0,0.0,2.9414741197551157e-05,63,0,0,1,-0.6486,42 million dead in bloodiest black friday weekend on record URL,1
534763214106820608,3162647,222.06895761741123,1,0.0,ROOT,534763214106820608,0.0,16973333,0.0,0,0.0,2.877336610756749e-05,91,0,0,2,-0.1027,"the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL",1
